symbol	ensembl	mitocarta_list	evidence	sub_localization
Gls	ENSMUSG00000026103	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	MIM
Them4	ENSMUSG00000028145	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	MIM
Pdss1	ENSMUSG00000026784	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog+, Rickettsia	MIM
Mtg2	ENSMUSG00000039069	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mrps11	ENSMUSG00000030611	MitoCarta3.0	literature, targetP signal, Rickettsial homolog, mito protei	Matrix
Mlycd	ENSMUSG00000074064	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Tcaim	ENSMUSG00000046603	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Ndufc1	ENSMUSG00000037152	MitoCarta3.0	literature, targetP signal+, mito protein domain+, coexpress	MIM
Gsr	ENSMUSG00000031584	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Rars2	ENSMUSG00000028292	MitoCarta3.0	literature, APEX_matrix, GFP, targetP signal, yeast mito hom	Matrix
Slc25a24	ENSMUSG00000040322	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MIM
Slc25a18	ENSMUSG00000004902	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Slc25a22	ENSMUSG00000019082	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Mpc1	ENSMUSG00000023861	MitoCarta3.0	GFP, yeast mito homolog+, mito protein domain+, MS/MS++	MIM
Timm8a1	ENSMUSG00000045455	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Vdac3	ENSMUSG00000008892	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MOM
Akap1	ENSMUSG00000018428	MitoCarta3.0	literature, mito protein domain, induction, coexpression++, 	MOM
Eci2	ENSMUSG00000021417	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Mrm2	ENSMUSG00000029557	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	Matrix
Lipt2	ENSMUSG00000030725	MitoCarta3.0	yeast mito homolog, Rickettsial homolog, mito protein domain	Matrix
Nubpl	ENSMUSG00000035142	MitoCarta3.0	literature, targetP signal, Rickettsial homolog, mito protei	Matrix
Sfxn1	ENSMUSG00000021474	MitoCarta3.0	literature, yeast mito homolog, mito protein domain+, coexpr	MIM
Slc30a9	ENSMUSG00000029221	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, mito prot	MIM
Gatm	ENSMUSG00000027199	MitoCarta3.0	literature, targetP signal, mito protein domain+, MS/MS++	Matrix
Triap1	ENSMUSG00000029535	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain, induc	IMS
Cpox	ENSMUSG00000022742	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, Rickettsi	MIM
Xpnpep3	ENSMUSG00000022401	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Pnpla8	ENSMUSG00000036257	MitoCarta3.0	APEX_matrix, Rickettsial homolog, induction, coexpression++,	MIM
Gadd45gip1	ENSMUSG00000033751	MitoCarta3.0	APEX_matrix, GFP, targetP signal+, coexpression+, MS/MS++	Matrix
Gfer	ENSMUSG00000040888	MitoCarta3.0	literature, GFP, targetP signal, yeast mito homolog++, mito 	IMS
Ngrn	ENSMUSG00000047084	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, mito prot	Matrix
Mrpl57	ENSMUSG00000021967	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Ndufa3	ENSMUSG00000035674	MitoCarta3.0	literature, induction, coexpression++, MS/MS++	MIM
Ptcd3	ENSMUSG00000063884	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Mrpl45	ENSMUSG00000018882	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Slc25a16	ENSMUSG00000071253	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Ucp1	ENSMUSG00000031710	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, coexp	MIM
Tars2	ENSMUSG00000028107	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog, Rickettsia	Matrix
Trit1	ENSMUSG00000028653	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Ndufab1	ENSMUSG00000030869	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	MIM
Csl	ENSMUSG00000046934	MitoCarta3.0	targetP signal, yeast mito homolog+, Rickettsial homolog, mi	Matrix
Slc25a39	ENSMUSG00000018677	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Prelid3b	ENSMUSG00000016257	MitoCarta3.0	GFP, yeast mito homolog+, mito protein domain+, induction, c	IMS
Mtch1	ENSMUSG00000024012	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MOM
Dele1	ENSMUSG00000024442	MitoCarta3.0	targetP signal+, yeast mito homolog, mito protein domain, in	MIM
Acaa1a	ENSMUSG00000036138	MitoCarta3.0	targetP signal, yeast mito homolog+, Rickettsial homolog, mi	Matrix
Acot13	ENSMUSG00000006717	MitoCarta3.0	mito protein domain, induction, coexpression, MS/MS++	Matrix
Ndufa13	ENSMUSG00000036199	MitoCarta3.0	literature, APEX_IMS, mito protein domain, coexpression++, M	MIM
Agxt2	ENSMUSG00000089678	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	Matrix
Selenoo	ENSMUSG00000035757	MitoCarta3.0	targetP signal+, yeast mito homolog, mito protein domain+, c	Matrix
Oxld1	ENSMUSG00000039670	MitoCarta3.0	targetP signal, yeast mito homolog, mito protein domain+, co	unknown
Mfn2	ENSMUSG00000029020	MitoCarta3.0	literature, mito protein domain+, induction, coexpression, M	MOM
Chdh	ENSMUSG00000015970	MitoCarta3.0	APEX_matrix, targetP signal+, mito protein domain, coexpress	MIM
Msra	ENSMUSG00000054733	MitoCarta3.0	targetP signal+, mito protein domain, coexpression, MS/MS++	Matrix
Nit1	ENSMUSG00000013997	MitoCarta3.0	APEX_matrix, targetP signal+, mito protein domain, coexpress	Matrix
Cox4i2	ENSMUSG00000009876	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	MIM
Lactb	ENSMUSG00000032370	MitoCarta3.0	literature, APEX_IMS, targetP signal, Rickettsial homolog, m	IMS
Tst	ENSMUSG00000044986	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Coa8	ENSMUSG00000037787	MitoCarta3.0	literature, targetP signal+, mito protein domain+, coexpress	MIM
Prodh2	ENSMUSG00000036892	MitoCarta3.0	targetP signal, yeast mito homolog+, mito protein domain+, M	MIM
Cox7b	ENSMUSG00000031231	MitoCarta3.0	literature, targetP signal, mito protein domain+, induction,	MIM
Glrx2	ENSMUSG00000018196	MitoCarta3.0	literature, targetP signal+, yeast mito homolog, Rickettsial	Matrix
Aldh1b1	ENSMUSG00000035561	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Ndufb3	ENSMUSG00000026032	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, mito protein domain+, coe	MIM
Ehhadh	ENSMUSG00000022853	MitoCarta3.0	yeast mito homolog+, Rickettsial homolog, mito protein domai	unknown
Echdc1	ENSMUSG00000019883	MitoCarta3.0	yeast mito homolog+, Rickettsial homolog, mito protein domai	unknown
Trmu	ENSMUSG00000022386	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Vars2	ENSMUSG00000038838	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, Rickettsial	Matrix
Mettl17	ENSMUSG00000004561	MitoCarta3.0	GFP, targetP signal+, yeast mito homolog++, mito protein dom	Matrix
Aass	ENSMUSG00000029695	MitoCarta3.0	APEX_matrix, targetP signal, mito protein domain, coexpressi	Matrix
Aadat	ENSMUSG00000057228	MitoCarta3.0	targetP signal, Rickettsial homolog, mito protein domain, co	Matrix
Ndufa11	ENSMUSG00000002379	MitoCarta3.0	literature, APEX_IMS, mito protein domain+, induction, MS/MS	MIM
Gm4984	nan	MitoCarta3.0	yeast mito homolog+, mito protein domain+, MS/MS++	MIM
Slc25a21	ENSMUSG00000035472	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Slc25a29	ENSMUSG00000021265	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Mthfd2	ENSMUSG00000005667	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Mmab	ENSMUSG00000029575	MitoCarta3.0	APEX_matrix, GFP, targetP signal+, coexpression, MS/MS++	Matrix
Hsd17b4	ENSMUSG00000024507	MitoCarta3.0	Rickettsial homolog, mito protein domain+, induction, coexpr	unknown
Nnt	ENSMUSG00000025453	MitoCarta3.0	literature, APEX_matrix, Rickettsial homolog, mito protein d	MIM
Tmem11	ENSMUSG00000043284	MitoCarta3.0	GFP, targetP signal, mito protein domain+, induction, coexpr	MIM
Mrm3	ENSMUSG00000038046	MitoCarta3.0	APEX_matrix, GFP, targetP signal, mito protein domain+, indu	Matrix
Rida	ENSMUSG00000022323	MitoCarta3.0	APEX_matrix, yeast mito homolog++, mito protein domain, coex	Matrix
Cox6a2	ENSMUSG00000030785	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, induc	MIM
Sco2	ENSMUSG00000091780	MitoCarta3.0	literature, APEX_IMS, targetP signal, yeast mito homolog++, 	MIM
Cox18	ENSMUSG00000035505	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, mito prot	MIM
Gcsh	ENSMUSG00000034424	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Dmgdh	ENSMUSG00000042102	MitoCarta3.0	literature, targetP signal+, yeast mito homolog, mito protei	Matrix
Rdh13	ENSMUSG00000008435	MitoCarta3.0	yeast mito homolog+, Rickettsial homolog, mito protein domai	MIM
Lyrm2	ENSMUSG00000045854	MitoCarta3.0	APEX_matrix, GFP, targetP signal+, mito protein domain+, coe	Matrix
Prdx5	ENSMUSG00000024953	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Maip1	ENSMUSG00000025971	MitoCarta3.0	GFP, targetP signal, induction, coexpression, MS/MS+	Matrix
Gstz1	ENSMUSG00000021033	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, mito protei	Matrix
Twnk	ENSMUSG00000025209	MitoCarta3.0	literature, APEX_matrix, targetP signal+, Rickettsial homolo	Matrix
Tefm	ENSMUSG00000046909	MitoCarta3.0	APEX_matrix, targetP signal, induction, coexpression++, MS/M	Matrix
Coa3	ENSMUSG00000017188	MitoCarta3.0	APEX_IMS, APEX_matrix, mito protein domain+, coexpression, M	MIM
Mcur1	ENSMUSG00000021371	MitoCarta3.0	APEX_matrix, yeast mito homolog+, mito protein domain+, indu	MIM
Pck2	ENSMUSG00000040618	MitoCarta3.0	literature, targetP signal+, mito protein domain, coexpressi	Matrix
Hmgcl	ENSMUSG00000028672	MitoCarta3.0	literature, APEX_matrix, targetP signal+, mito protein domai	Matrix
Abhd10	ENSMUSG00000033157	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, Ricketts	Matrix
BC003965	ENSMUSG00000067722	MitoCarta3.0	APEX_IMS, targetP signal+, induction, coexpression, MS/MS	IMS
Acot2	ENSMUSG00000021226	MitoCarta3.0	literature, targetP signal, mito protein domain, induction, 	Matrix
Alas2	ENSMUSG00000025270	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, Rickettsial	Matrix
Acsm3	ENSMUSG00000030935	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	Matrix
Romo1	ENSMUSG00000067847	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, mito protein dom	MIM
Mrpl39	ENSMUSG00000022889	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Rhot2	ENSMUSG00000025733	MitoCarta3.0	literature, yeast mito homolog, mito protein domain+, induct	MOM
Higd1a	ENSMUSG00000038412	MitoCarta3.0	literature, APEX_IMS, mito protein domain+, induction, MS/MS	MIM
Tbrg4	ENSMUSG00000000384	MitoCarta3.0	literature, APEX_matrix, targetP signal+, coexpression, MS/M	Matrix
Apoo	ENSMUSG00000049233	MitoCarta3.0	literature, APEX_IMS, targetP signal, mito protein domain+, 	MIM
Pdp1	ENSMUSG00000049225	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Dnajc15	ENSMUSG00000022013	MitoCarta3.0	GFP, yeast mito homolog, mito protein domain, induction, coe	MIM
Bcat2	ENSMUSG00000030826	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Abcd3	ENSMUSG00000028127	MitoCarta3.0	GFP, targetP signal, Rickettsial homolog, mito protein domai	Membrane
Cps1	ENSMUSG00000025991	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Atp5mpl	ENSMUSG00000021290	MitoCarta3.0	induction, coexpression++, MS/MS+	MIM
Oat	ENSMUSG00000030934	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Hao2	ENSMUSG00000027870	MitoCarta3.0	yeast mito homolog+, Rickettsial homolog, mito protein domai	unknown
Tha1	ENSMUSG00000017713	MitoCarta3.0	targetP signal+, mito protein domain+, MS/MS+	Matrix
Hadhb	ENSMUSG00000059447	MitoCarta3.0	literature, targetP signal, Rickettsial homolog, mito protei	MIM
Rdh14	ENSMUSG00000020621	MitoCarta3.0	yeast mito homolog+, Rickettsial homolog, mito protein domai	Membrane
Fastkd1	ENSMUSG00000027086	MitoCarta3.0	APEX_matrix, targetP signal, induction, coexpression++	Matrix
Car5b	ENSMUSG00000031373	MitoCarta3.0	literature, targetP signal, mito protein domain, coexpressio	Matrix
Grpel2	ENSMUSG00000024580	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrps17	ENSMUSG00000034211	MitoCarta3.0	literature, targetP signal, mito protein domain, induction, 	Matrix
Lipt1	ENSMUSG00000037216	MitoCarta3.0	GFP, targetP signal, yeast mito homolog++, mito protein doma	Matrix
Slc25a44	ENSMUSG00000050144	MitoCarta3.0	yeast mito homolog+, mito protein domain+, induction, MS/MS	MIM
Dut	ENSMUSG00000027203	MitoCarta3.0	literature, targetP signal+, Rickettsial homolog, MS/MS++	Matrix
Immp2l	ENSMUSG00000056899	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain, coexp	MIM
Cox19	ENSMUSG00000045438	MitoCarta3.0	yeast mito homolog, mito protein domain, induction, coexpres	IMS
Aldh1l2	ENSMUSG00000020256	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Chchd2	ENSMUSG00000070493	MitoCarta3.0	APEX_IMS, targetP signal+, yeast mito homolog+, mito protein	IMS
Pisd	ENSMUSG00000023452	MitoCarta3.0	targetP signal, yeast mito homolog++, mito protein domain, M	MIM
Crot	ENSMUSG00000003623	MitoCarta3.0	yeast mito homolog+, mito protein domain, induction, coexpre	unknown
Noa1	ENSMUSG00000036285	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Ndufaf8	ENSMUSG00000078572	MitoCarta3.0	targetP signal, induction, coexpression+, MS/MS	IMS
Acaa1b	ENSMUSG00000010651	MitoCarta3.0	targetP signal, yeast mito homolog+, Rickettsial homolog, mi	unknown
Mtrf1l	ENSMUSG00000019774	MitoCarta3.0	literature, targetP signal+, yeast mito homolog+, Rickettsia	Matrix
Atp23	ENSMUSG00000025436	MitoCarta3.0	yeast mito homolog++, mito protein domain+, coexpression	IMS
Yme1l1	ENSMUSG00000026775	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog, Rickettsial homolo	MIM
Hdhd5	ENSMUSG00000058979	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, mito protei	Matrix
Aldh7a1	ENSMUSG00000053644	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Chchd7	ENSMUSG00000042198	MitoCarta3.0	yeast mito homolog, induction, coexpression, MS/MS+	IMS
Pdpr	ENSMUSG00000033624	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog, mito prote	Matrix
Nln	ENSMUSG00000021710	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Ndufaf2	ENSMUSG00000068184	MitoCarta3.0	literature, APEX_matrix, targetP signal, induction, coexpres	MIM
Fastkd2	ENSMUSG00000025962	MitoCarta3.0	literature, APEX_matrix, targetP signal+, induction, coexpre	Matrix
Dcakd	ENSMUSG00000020935	MitoCarta3.0	GFP, yeast mito homolog, Rickettsial homolog, mito protein d	Membrane
Sdr39u1	ENSMUSG00000022223	MitoCarta3.0	targetP signal, mito protein domain, coexpression, MS/MS++	unknown
Gars	ENSMUSG00000029777	MitoCarta3.0	targetP signal+, yeast mito homolog, mito protein domain, in	Matrix
Uqcr11	ENSMUSG00000020163	MitoCarta3.0	literature, targetP signal, mito protein domain+, MS/MS++	MIM
Ears2	ENSMUSG00000030871	MitoCarta3.0	literature, APEX_matrix, GFP, yeast mito homolog++, Ricketts	Matrix
Cox6b2	ENSMUSG00000051811	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Timm10b	ENSMUSG00000089847	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog+, mito protein doma	MIM
Atpaf1	ENSMUSG00000028710	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	Matrix
Sfxn3	ENSMUSG00000025212	MitoCarta3.0	yeast mito homolog, mito protein domain+, MS/MS++	MIM
Abcd2	ENSMUSG00000055782	MitoCarta3.0	targetP signal, Rickettsial homolog, mito protein domain, co	Membrane
Sqor	ENSMUSG00000005803	MitoCarta3.0	literature, targetP signal+, mito protein domain, MS/MS++	MIM
Sirt5	ENSMUSG00000054021	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Nudt13	ENSMUSG00000021809	MitoCarta3.0	GFP, targetP signal, mito protein domain, induction, coexpre	Matrix
Acad11	ENSMUSG00000090150	MitoCarta3.0	mito protein domain+, induction, coexpression	MIM
Ppox	ENSMUSG00000062729	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	MIM
D2hgdh	ENSMUSG00000073609	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Diablo	ENSMUSG00000029433	MitoCarta3.0	literature, APEX_IMS, targetP signal+, mito protein domain+,	IMS
Slc25a45	ENSMUSG00000024818	MitoCarta3.0	yeast mito homolog, mito protein domain+, MS/MS++	MIM
Ttc19	ENSMUSG00000042298	MitoCarta3.0	literature, APEX_IMS, targetP signal+, mito protein domain, 	MIM
Agxt	ENSMUSG00000026272	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	Matrix
Dglucy	ENSMUSG00000021185	MitoCarta3.0	literature, APEX_matrix, targetP signal+, coexpression, MS/M	Matrix
Mtfmt	ENSMUSG00000059183	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
mt-Co1	ENSMUSG00000064351	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog++, Rickettsial homo	MIM
Endog	ENSMUSG00000015337	MitoCarta3.0	literature, APEX_IMS, yeast mito homolog, mito protein domai	IMS
Fam162a	ENSMUSG00000003955	MitoCarta3.0	APEX_IMS, APEX_matrix, targetP signal, induction, coexpressi	MIM
Atp5j2	ENSMUSG00000038690	MitoCarta3.0	literature, coexpression++, MS/MS++	MIM
Gls2	ENSMUSG00000044005	MitoCarta3.0	targetP signal, mito protein domain+, MS/MS++	Matrix
Timmdc1	ENSMUSG00000002846	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, mito prot	MIM
Mrps33	ENSMUSG00000029918	MitoCarta3.0	literature, targetP signal, mito protein domain+, MS/MS++	Matrix
Tfam	ENSMUSG00000003923	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
Ecsit	ENSMUSG00000066839	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	MIM
Mrs2	ENSMUSG00000021339	MitoCarta3.0	APEX_matrix, GFP, targetP signal, yeast mito homolog++, coex	MIM
Abcb6	ENSMUSG00000026198	MitoCarta3.0	literature, yeast mito homolog+, Rickettsial homolog, mito p	MOM
Mtfr1l	ENSMUSG00000046671	MitoCarta3.0	mito protein domain+, induction, coexpression, MS/MS	unknown
Lap3	ENSMUSG00000039682	MitoCarta3.0	APEX_matrix, targetP signal, Rickettsial homolog, coexpressi	Matrix
Acsf2	ENSMUSG00000076435	MitoCarta3.0	APEX_matrix, targetP signal, Rickettsial homolog, mito prote	Matrix
Gpt2	ENSMUSG00000031700	MitoCarta3.0	APEX_matrix, targetP signal, Rickettsial homolog, mito prote	Matrix
Grhpr	ENSMUSG00000035637	MitoCarta3.0	APEX_matrix, yeast mito homolog, mito protein domain, coexpr	Matrix
Stom	ENSMUSG00000026880	MitoCarta3.0	yeast mito homolog+, Rickettsial homolog, mito protein domai	Membrane
Glod4	ENSMUSG00000017286	MitoCarta3.0	APEX_matrix, targetP signal, coexpression, MS/MS++	Matrix
Tomm6	ENSMUSG00000033475	MitoCarta3.0	GFP, mito protein domain+, coexpression, MS/MS+	MOM
Mrps36	ENSMUSG00000061474	MitoCarta3.0	literature, APEX_matrix, mito protein domain+, MS/MS++	Matrix
Tmem65	ENSMUSG00000062373	MitoCarta3.0	literature, APEX_matrix, targetP signal, coexpression, MS/MS	MIM
Tomm70a	ENSMUSG00000022752	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain, induct	MOM
Fhit	ENSMUSG00000060579	MitoCarta3.0	targetP signal, yeast mito homolog, mito protein domain, MS/	Matrix
Osgepl1	ENSMUSG00000026096	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog, Rickettsial	Matrix
Crls1	ENSMUSG00000027357	MitoCarta3.0	literature, targetP signal, yeast mito homolog, Rickettsial 	MIM
Mocs1	ENSMUSG00000064120	MitoCarta3.0	APEX_matrix, targetP signal, mito protein domain+, MS/MS+	Matrix
Aldh1l1	ENSMUSG00000030088	MitoCarta3.0	APEX_matrix, yeast mito homolog, Rickettsial homolog, mito p	Matrix
Rfk	ENSMUSG00000024712	MitoCarta3.0	targetP signal, yeast mito homolog++, MS/MS	Matrix
Dhrs1	ENSMUSG00000002332	MitoCarta3.0	targetP signal, Rickettsial homolog, mito protein domain, MS	MIM
Polg	ENSMUSG00000039176	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Prelid3a	ENSMUSG00000024530	MitoCarta3.0	yeast mito homolog+, mito protein domain+, MS/MS	IMS
Timm8a2	ENSMUSG00000071229	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	IMS
Slc25a14	ENSMUSG00000031105	MitoCarta3.0	literature, yeast mito homolog+, mito protein domain+, MS/MS	MIM
Rhot1	ENSMUSG00000017686	MitoCarta3.0	literature, targetP signal, yeast mito homolog, mito protein	MOM
Gpx1	ENSMUSG00000063856	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	Matrix
Slc25a46	ENSMUSG00000024259	MitoCarta3.0	yeast mito homolog+, mito protein domain+, induction	MOM
mt-Nd5	ENSMUSG00000064367	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito	MIM
mt-Nd4	ENSMUSG00000064363	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito	MIM
mt-Nd2	ENSMUSG00000064345	MitoCarta3.0	literature, Rickettsial homolog, mito protein domain+, MS/MS	MIM
Prelid1	ENSMUSG00000021486	MitoCarta3.0	literature, APEX_IMS, GFP, targetP signal, yeast mito homolo	IMS
Tstd3	ENSMUSG00000028251	MitoCarta3.0	targetP signal, yeast mito homolog, Rickettsial homolog, mit	unknown
Slc25a32	ENSMUSG00000022299	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, mito protei	MIM
Mcu	ENSMUSG00000009647	MitoCarta3.0	literature, GFP, targetP signal, mito protein domain+, MS/MS	MIM
Nipsnap1	ENSMUSG00000034285	MitoCarta3.0	APEX_matrix, targetP signal+, coexpression, MS/MS++	Matrix
Pus1	ENSMUSG00000029507	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, mito prot	Matrix
Pdp2	ENSMUSG00000048371	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog+, mito prote	Matrix
Lypla1	ENSMUSG00000025903	MitoCarta3.0	Rickettsial homolog, mito protein domain, coexpression, MS/M	unknown
Mthfd2l	ENSMUSG00000029376	MitoCarta3.0	literature, targetP signal, yeast mito homolog+, Rickettsial	Matrix
Mtrf1	ENSMUSG00000022022	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Coq8b	ENSMUSG00000003762	MitoCarta3.0	APEX_matrix, GFP, targetP signal, yeast mito homolog+, Ricke	MIM
Hemk1	ENSMUSG00000032579	MitoCarta3.0	GFP, targetP signal, yeast mito homolog, Rickettsial homolog	Matrix
Akr7a5	ENSMUSG00000028743	MitoCarta3.0	APEX_matrix, targetP signal+, coexpression, MS/MS++	Matrix
Cyp27a1	ENSMUSG00000026170	MitoCarta3.0	literature, targetP signal+, mito protein domain, MS/MS++	MIM
Oxct2a	ENSMUSG00000076436	MitoCarta3.0	targetP signal+, mito protein domain, MS/MS++	Matrix
Mrpl52	ENSMUSG00000010406	MitoCarta3.0	literature, APEX_matrix, targetP signal+, coexpression, MS/M	Matrix
Fis1	ENSMUSG00000019054	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+	MOM
Amt	ENSMUSG00000032607	MitoCarta3.0	targetP signal, yeast mito homolog, mito protein domain, MS/	Matrix
Exog	ENSMUSG00000042787	MitoCarta3.0	APEX_IMS, targetP signal, yeast mito homolog, mito protein d	MIM
Mpst	ENSMUSG00000071711	MitoCarta3.0	APEX_matrix, targetP signal, mito protein domain, coexpressi	MIM
Pnpo	ENSMUSG00000018659	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, coexpress	Matrix
Mpv17l2	ENSMUSG00000035559	MitoCarta3.0	GFP, targetP signal, yeast mito homolog+, mito protein domai	MIM
Fundc2	ENSMUSG00000031198	MitoCarta3.0	mito protein domain+, MS/MS++	MOM
Mrpl18	ENSMUSG00000057388	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	Matrix
Atp5g2	ENSMUSG00000062683	MitoCarta3.0	literature, targetP signal+, yeast mito homolog+, Rickettsia	MIM
Mettl5	ENSMUSG00000051730	MitoCarta3.0	Rickettsial homolog, mito protein domain+, induction, coexpr	Matrix
Slc25a38	ENSMUSG00000032519	MitoCarta3.0	yeast mito homolog++, mito protein domain+, coexpression	MIM
Slc25a36	ENSMUSG00000032449	MitoCarta3.0	GFP, yeast mito homolog+, mito protein domain+, coexpression	MIM
Trmt2b	ENSMUSG00000067369	MitoCarta3.0	GFP, targetP signal, mito protein domain+, induction, coexpr	Matrix
Abat	ENSMUSG00000057880	MitoCarta3.0	literature, APEX_matrix, targetP signal, mito protein domain	Matrix
